#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCG2	CYP2J2	9606.ENSP00000237612	9606.ENSP00000360247	0	0	0	0	0.088	0.056	0	0.401	0.440
ABCG2	BCL2L1	9606.ENSP00000237612	9606.ENSP00000302564	0	0	0	0	0	0	0	0.455	0.455
ABCG2	PECAM1	9606.ENSP00000237612	9606.ENSP00000457421	0	0	0	0	0	0	0	0.459	0.459
ABCG2	PTPRC	9606.ENSP00000237612	9606.ENSP00000411355	0	0	0	0	0.062	0.102	0	0.420	0.469
ABCG2	STAT3	9606.ENSP00000237612	9606.ENSP00000264657	0	0	0	0	0	0	0	0.470	0.470
ABCG2	SLC31A1	9606.ENSP00000237612	9606.ENSP00000363329	0	0	0	0	0.052	0	0	0.467	0.473
ABCG2	SLC19A1	9606.ENSP00000237612	9606.ENSP00000308895	0	0	0	0	0	0	0	0.509	0.509
ABCG2	DGAT1	9606.ENSP00000237612	9606.ENSP00000482264	0	0	0	0	0	0.059	0	0.530	0.539
ABCG2	ANXA5	9606.ENSP00000237612	9606.ENSP00000296511	0	0	0	0	0	0.137	0	0.498	0.549
ABCG2	MVP	9606.ENSP00000237612	9606.ENSP00000378760	0	0	0	0	0	0	0	0.561	0.561
ABCG2	NOTCH1	9606.ENSP00000237612	9606.ENSP00000277541	0	0	0	0	0	0	0	0.572	0.572
ABCG2	PTEN	9606.ENSP00000237612	9606.ENSP00000361021	0	0	0	0	0.062	0	0	0.565	0.575
ABCG2	ACTB	9606.ENSP00000237612	9606.ENSP00000349960	0	0	0	0	0	0	0	0.595	0.595
ABCG2	SLC22A1	9606.ENSP00000237612	9606.ENSP00000355930	0	0	0	0	0.054	0.102	0	0.687	0.711
ABCG2	PHC2	9606.ENSP00000237612	9606.ENSP00000257118	0	0	0	0	0	0.776	0	0.049	0.777
ABCG2	SLC2A9	9606.ENSP00000237612	9606.ENSP00000264784	0	0	0	0	0.055	0.056	0	0.809	0.814
ABHD12B	KRT23	9606.ENSP00000336693	9606.ENSP00000209718	0	0	0	0	0	0	0	0.459	0.459
ABHD12B	ABHD8	9606.ENSP00000336693	9606.ENSP00000247706	0.045	0	0	0	0.049	0	0	0.562	0.568
ABHD12B	ABHD2	9606.ENSP00000336693	9606.ENSP00000268129	0	0	0	0	0	0	0	0.535	0.535
ABHD12B	SBNO2	9606.ENSP00000336693	9606.ENSP00000354733	0	0	0	0	0	0	0	0.434	0.434
ABHD12B	TM9SF2	9606.ENSP00000336693	9606.ENSP00000365567	0	0	0	0	0.062	0	0	0.533	0.543
ABHD12B	ABHD5	9606.ENSP00000336693	9606.ENSP00000390849	0.045	0	0	0	0.062	0	0	0.621	0.631
ABHD12B	ABHD4	9606.ENSP00000336693	9606.ENSP00000414558	0.045	0	0	0	0.062	0	0	0.691	0.699
ABHD14A-ACY1	MAEA	9606.ENSP00000420487	9606.ENSP00000302830	0	0	0	0	0	0	0	0.463	0.463
ABHD14A-ACY1	CAP1	9606.ENSP00000420487	9606.ENSP00000361883	0	0	0	0	0	0.058	0	0.442	0.451
ABHD14A-ACY1	PGM2	9606.ENSP00000420487	9606.ENSP00000371393	0.050	0	0	0	0.062	0.056	0	0.537	0.558
ABHD14A-ACY1	RGS19	9606.ENSP00000420487	9606.ENSP00000378483	0	0	0	0	0	0	0	0.432	0.432
ABHD2	ABHD8	9606.ENSP00000268129	9606.ENSP00000247706	0	0	0	0	0.062	0.062	0	0.742	0.753
ABHD2	CYP27A1	9606.ENSP00000268129	9606.ENSP00000258415	0	0	0	0	0	0	0	0.579	0.579
ABHD2	ACSL1	9606.ENSP00000268129	9606.ENSP00000422607	0	0	0	0	0.062	0.059	0	0.481	0.502
ABHD2	PNPLA2	9606.ENSP00000268129	9606.ENSP00000337701	0	0	0	0	0	0	0	0.508	0.508
ABHD2	ABHD5	9606.ENSP00000268129	9606.ENSP00000390849	0	0	0	0	0.062	0.062	0	0.569	0.588
ABHD2	ABHD4	9606.ENSP00000268129	9606.ENSP00000414558	0	0	0	0	0.062	0.062	0	0.645	0.660
ABHD4	ABHD8	9606.ENSP00000414558	9606.ENSP00000247706	0	0	0	0	0	0	0	0.638	0.638
ABHD4	SCPEP1	9606.ENSP00000414558	9606.ENSP00000262288	0	0	0	0	0.065	0	0	0.396	0.411
ABHD4	PNPLA2	9606.ENSP00000414558	9606.ENSP00000337701	0	0	0	0	0.065	0.337	0	0.515	0.673
ABHD4	PPT1	9606.ENSP00000414558	9606.ENSP00000394863	0	0	0	0	0	0	0	0.412	0.412
ABHD5	TPD52L2	9606.ENSP00000390849	9606.ENSP00000217121	0	0	0	0	0.049	0.658	0	0.186	0.712
ABHD5	PLIN3	9606.ENSP00000390849	9606.ENSP00000221957	0	0	0	0	0	0.131	0	0.738	0.763
ABHD5	DGAT2	9606.ENSP00000390849	9606.ENSP00000228027	0	0	0	0	0.069	0	0	0.663	0.673
ABHD5	ABHD8	9606.ENSP00000390849	9606.ENSP00000247706	0	0	0	0	0	0	0	0.596	0.596
ABHD5	CYP4F22	9606.ENSP00000390849	9606.ENSP00000269703	0	0	0	0	0	0.069	0	0.624	0.635
ABHD5	PLIN4	9606.ENSP00000390849	9606.ENSP00000301286	0	0	0	0	0.055	0.077	0	0.668	0.685
ABHD5	MBOAT2	9606.ENSP00000390849	9606.ENSP00000302177	0	0	0	0	0	0	0	0.585	0.585
ABHD5	PNPLA2	9606.ENSP00000390849	9606.ENSP00000337701	0	0	0	0	0.065	0.822	0.800	0.993	0.999
ABHD5	G0S2	9606.ENSP00000390849	9606.ENSP00000355996	0	0	0	0	0	0	0	0.774	0.774
ABHD5	PLIN5	9606.ENSP00000390849	9606.ENSP00000371272	0	0	0	0	0	0.238	0	0.986	0.989
ABHD5	PNPLA1	9606.ENSP00000390849	9606.ENSP00000378072	0	0	0	0	0.065	0.224	0	0.895	0.917
ABHD5	LIPN	9606.ENSP00000390849	9606.ENSP00000383923	0	0	0	0	0	0	0	0.487	0.487
ABHD5	ACSL1	9606.ENSP00000390849	9606.ENSP00000422607	0.042	0	0	0	0.136	0.127	0	0.306	0.431
ABHD5	DGAT1	9606.ENSP00000390849	9606.ENSP00000482264	0	0	0	0	0.062	0	0	0.639	0.647
ABHD5	LPPR2	9606.ENSP00000390849	9606.ENSP00000466898	0	0	0	0	0.065	0	0.900	0.091	0.907
ABHD5	AGPAT9	9606.ENSP00000390849	9606.ENSP00000482571	0	0	0	0	0.062	0	0.900	0.484	0.947
ABHD8	SPG21	9606.ENSP00000247706	9606.ENSP00000204566	0	0.419	0	0	0.062	0	0	0.048	0.436
ABHD8	MYO9B	9606.ENSP00000247706	9606.ENSP00000471457	0	0	0	0	0.066	0	0	0.436	0.451
ABHD8	ACSL1	9606.ENSP00000247706	9606.ENSP00000422607	0.042	0	0	0	0.069	0.127	0	0.455	0.519
ABHD8	CYP27A1	9606.ENSP00000247706	9606.ENSP00000258415	0	0	0	0	0.069	0.069	0	0.571	0.596
ABTB1	CACUL1	9606.ENSP00000232744	9606.ENSP00000358147	0	0	0	0	0.062	0.249	0	0.250	0.425
ABTB1	FAM198B	9606.ENSP00000232744	9606.ENSP00000377396	0	0	0	0	0.077	0	0	0.485	0.505
ABTB1	DNTTIP1	9606.ENSP00000232744	9606.ENSP00000361705	0	0	0	0	0	0.270	0	0.458	0.587
ABTB1	PTEN	9606.ENSP00000232744	9606.ENSP00000361021	0	0	0	0	0	0.078	0	0.574	0.590
ABTB1	TMEM91	9606.ENSP00000232744	9606.ENSP00000375859	0	0	0	0	0	0	0	0.609	0.609
ACAA1	ACSS2	9606.ENSP00000333664	9606.ENSP00000253382	0.054	0	0	0	0.143	0	0.800	0.265	0.864
ACAA1	HMGCR	9606.ENSP00000333664	9606.ENSP00000287936	0.154	0	0	0	0.066	0	0	0.441	0.520
ACAA1	ACOX1	9606.ENSP00000333664	9606.ENSP00000293217	0.055	0	0	0	0.372	0.151	0.900	0.870	0.992
ACAA1	ELOVL5	9606.ENSP00000333664	9606.ENSP00000359956	0	0	0	0	0.086	0	0	0.401	0.430
ACAA1	HSDL2	9606.ENSP00000333664	9606.ENSP00000381785	0.047	0	0	0	0.153	0.126	0	0.362	0.490
ACAA1	QPCT	9606.ENSP00000333664	9606.ENSP00000344829	0	0	0	0	0.062	0.056	0	0.499	0.518
ACAA1	ACSL4	9606.ENSP00000333664	9606.ENSP00000339787	0.069	0	0	0	0.166	0.129	0	0.452	0.580
ACAA1	ACSL1	9606.ENSP00000333664	9606.ENSP00000422607	0.069	0	0	0	0.296	0.366	0	0.546	0.786
ACAA1	ACSS3	9606.ENSP00000333664	9606.ENSP00000449535	0.054	0	0	0	0.143	0	0.800	0.126	0.839
ACAP2	ARF5	9606.ENSP00000324287	9606.ENSP00000000233	0	0	0	0	0.049	0.147	0	0.735	0.767
ACAP2	VAMP3	9606.ENSP00000324287	9606.ENSP00000054666	0	0	0	0	0	0.104	0	0.504	0.537
ACAP2	RAB35	9606.ENSP00000324287	9606.ENSP00000229340	0	0	0	0	0	0.862	0	0.972	0.996
ACAP2	RAB36	9606.ENSP00000324287	9606.ENSP00000263116	0	0	0	0	0.063	0.125	0	0.438	0.499
ACAP2	RAB5A	9606.ENSP00000324287	9606.ENSP00000273047	0	0	0	0	0.096	0.212	0	0.242	0.413
ACAP2	ARFIP1	9606.ENSP00000324287	9606.ENSP00000395083	0	0	0	0	0.067	0	0	0.438	0.454
ACAP2	LAMP1	9606.ENSP00000324287	9606.ENSP00000333298	0	0	0	0	0.062	0.056	0	0.439	0.459
ACAP2	EHD1	9606.ENSP00000324287	9606.ENSP00000479153	0	0	0	0	0.063	0	0	0.468	0.480
ACAP2	BANP	9606.ENSP00000324287	9606.ENSP00000376902	0	0	0	0	0	0	0	0.507	0.507
ACAP2	TBC1D10B	9606.ENSP00000324287	9606.ENSP00000386538	0	0	0	0	0.049	0	0	0.520	0.524
ACAP2	DENND1A	9606.ENSP00000324287	9606.ENSP00000362727	0	0	0	0	0.063	0	0	0.575	0.585
ACAP2	ARF1	9606.ENSP00000324287	9606.ENSP00000440005	0	0	0	0	0	0.147	0	0.627	0.668
ACAP2	TMEM33	9606.ENSP00000324287	9606.ENSP00000422473	0	0	0	0	0	0	0	0.690	0.690
ACOX1	TBL1X	9606.ENSP00000293217	9606.ENSP00000217964	0	0	0	0	0	0.070	0.900	0.108	0.909
ACOX1	DGAT2	9606.ENSP00000293217	9606.ENSP00000228027	0	0	0	0	0.063	0	0	0.660	0.667
ACOX1	GAPDH	9606.ENSP00000293217	9606.ENSP00000229239	0	0	0	0	0	0	0	0.432	0.432
ACOX1	ACSS2	9606.ENSP00000293217	9606.ENSP00000253382	0	0	0	0	0.085	0	0.900	0.407	0.941
ACOX1	SMARCD3	9606.ENSP00000293217	9606.ENSP00000262188	0	0	0	0	0	0.058	0.900	0.094	0.907
ACOX1	HMGCR	9606.ENSP00000293217	9606.ENSP00000287936	0	0	0	0	0	0	0	0.526	0.526
ACOX1	AGPAT9	9606.ENSP00000293217	9606.ENSP00000482571	0	0	0	0	0.061	0	0	0.393	0.406
ACOX1	ACTB	9606.ENSP00000293217	9606.ENSP00000349960	0	0	0	0	0	0	0	0.415	0.415
ACOX1	G6PD	9606.ENSP00000293217	9606.ENSP00000377192	0	0	0	0	0	0	0	0.416	0.416
ACOX1	GK	9606.ENSP00000293217	9606.ENSP00000401720	0	0	0	0	0.063	0	0	0.434	0.447
ACOX1	PFKFB3	9606.ENSP00000293217	9606.ENSP00000443319	0	0	0	0	0.054	0.143	0	0.379	0.452
ACOX1	CD36	9606.ENSP00000293217	9606.ENSP00000399421	0	0	0	0	0.063	0	0	0.446	0.459
ACOX1	ELOVL5	9606.ENSP00000293217	9606.ENSP00000359956	0	0	0	0	0.062	0	0	0.528	0.538
ACOX1	PNPLA2	9606.ENSP00000293217	9606.ENSP00000337701	0	0	0	0	0.062	0	0	0.615	0.624
ACOX1	HSDL2	9606.ENSP00000293217	9606.ENSP00000381785	0.042	0	0	0	0.138	0.391	0	0.405	0.660
ACOX1	DGAT1	9606.ENSP00000293217	9606.ENSP00000482264	0	0	0	0	0.062	0	0	0.672	0.679
ACOX1	SRA1	9606.ENSP00000293217	9606.ENSP00000337513	0	0	0	0	0	0	0.900	0	0.900
ACOX1	SP1	9606.ENSP00000293217	9606.ENSP00000329357	0	0	0	0	0	0.057	0.900	0.048	0.902
ACOX1	NCOA1	9606.ENSP00000293217	9606.ENSP00000385216	0	0	0	0	0	0	0.900	0.088	0.904
ACOX1	ACSS3	9606.ENSP00000293217	9606.ENSP00000449535	0	0	0	0	0.085	0	0.900	0.230	0.923
ACOX1	RXRA	9606.ENSP00000293217	9606.ENSP00000419692	0	0	0	0	0.062	0.056	0.900	0.440	0.943
ACOX1	ACSL4	9606.ENSP00000293217	9606.ENSP00000339787	0.051	0	0	0	0.138	0.137	0.900	0.507	0.958
ACOX1	ACSL1	9606.ENSP00000293217	9606.ENSP00000422607	0.051	0	0	0	0.202	0.244	0.900	0.732	0.981
ACSL1	TBL1X	9606.ENSP00000422607	9606.ENSP00000217964	0	0	0	0	0.062	0.056	0.900	0.125	0.912
ACSL1	PLIN3	9606.ENSP00000422607	9606.ENSP00000221957	0	0	0	0	0	0	0	0.445	0.445
ACSL1	DGAT2	9606.ENSP00000422607	9606.ENSP00000228027	0	0	0	0	0.101	0	0	0.645	0.667
ACSL1	ACSS2	9606.ENSP00000422607	9606.ENSP00000253382	0	0	0	0	0.080	0	0	0.657	0.671
ACSL1	CYP27A1	9606.ENSP00000422607	9606.ENSP00000258415	0	0	0	0	0.106	0.067	0	0.455	0.506
ACSL1	SMARCD3	9606.ENSP00000422607	9606.ENSP00000262188	0	0	0	0	0	0	0.900	0	0.900
ACSL1	MARK4	9606.ENSP00000422607	9606.ENSP00000262891	0	0	0	0	0	0	0	0.548	0.548
ACSL1	ZFAND3	9606.ENSP00000422607	9606.ENSP00000287218	0	0	0	0	0.062	0	0	0.490	0.501
ACSL1	PNPLA2	9606.ENSP00000422607	9606.ENSP00000337701	0	0	0	0	0.063	0	0.600	0.560	0.820
ACSL1	ACSL4	9606.ENSP00000422607	9606.ENSP00000339787	0	0	0.424	0.782	0.064	0.117	0.600	0.851	0.732
ACSL1	TCF7L2	9606.ENSP00000422607	9606.ENSP00000358404	0	0	0	0	0	0	0	0.478	0.478
ACSL1	ELOVL5	9606.ENSP00000422607	9606.ENSP00000359956	0	0	0	0	0.109	0.056	0	0.493	0.537
ACSL1	PLIN5	9606.ENSP00000422607	9606.ENSP00000371272	0	0	0	0	0.064	0.166	0	0.325	0.427
ACSL1	AGPAT1	9606.ENSP00000422607	9606.ENSP00000378877	0.051	0	0	0	0.062	0.058	0	0.527	0.550
ACSL1	NCOA1	9606.ENSP00000422607	9606.ENSP00000385216	0	0	0	0	0.097	0	0.900	0.091	0.910
ACSL1	PPT1	9606.ENSP00000422607	9606.ENSP00000394863	0	0	0	0	0.077	0.056	0.600	0.089	0.640
ACSL1	CD36	9606.ENSP00000422607	9606.ENSP00000399421	0	0	0	0	0.123	0	0	0.458	0.504
ACSL1	RXRA	9606.ENSP00000422607	9606.ENSP00000419692	0	0	0	0	0.067	0	0.900	0.323	0.931
ACSL1	AGPAT9	9606.ENSP00000422607	9606.ENSP00000482571	0.051	0	0	0	0.062	0.058	0	0.418	0.447
ACSL1	DGAT1	9606.ENSP00000422607	9606.ENSP00000482264	0	0	0	0	0.158	0	0	0.643	0.686
ACSL4	DGAT2	9606.ENSP00000339787	9606.ENSP00000228027	0	0	0	0	0.073	0	0	0.502	0.518
ACSL4	MFN2	9606.ENSP00000339787	9606.ENSP00000235329	0	0	0	0	0	0	0	0.404	0.404
ACSL4	LPCAT3	9606.ENSP00000339787	9606.ENSP00000261407	0	0	0	0	0.062	0	0	0.647	0.655
ACSL4	CYP4F22	9606.ENSP00000339787	9606.ENSP00000269703	0	0	0	0	0.084	0.067	0	0.446	0.485
ACSL4	RAB5A	9606.ENSP00000339787	9606.ENSP00000273047	0	0	0	0	0.062	0.270	0	0.632	0.726
ACSL4	HMGCR	9606.ENSP00000339787	9606.ENSP00000287936	0	0	0	0	0.082	0.105	0	0.365	0.433
ACSL4	PNPLA2	9606.ENSP00000339787	9606.ENSP00000337701	0	0	0	0	0.063	0	0.600	0.365	0.741
ACSL4	FUNDC2	9606.ENSP00000339787	9606.ENSP00000358510	0	0	0	0	0	0	0	0.429	0.429
ACSL4	AGPAT9	9606.ENSP00000339787	9606.ENSP00000482571	0.051	0	0	0	0.062	0.058	0	0.510	0.534
ACSL4	DGAT1	9606.ENSP00000339787	9606.ENSP00000482264	0	0	0	0	0.123	0	0	0.552	0.591
ACSL4	PPT1	9606.ENSP00000339787	9606.ENSP00000394863	0	0	0	0	0	0.056	0.600	0.055	0.612
ACSL4	SH3GLB1	9606.ENSP00000339787	9606.ENSP00000479919	0	0	0	0	0.068	0.270	0	0.810	0.860
ACSS2	SLC25A11	9606.ENSP00000253382	9606.ENSP00000225665	0	0	0	0	0.063	0	0	0.486	0.498
ACSS2	DGAT2	9606.ENSP00000253382	9606.ENSP00000228027	0	0	0	0	0.062	0	0	0.408	0.421
ACSS2	HK2	9606.ENSP00000253382	9606.ENSP00000290573	0	0	0	0	0.073	0	0	0.396	0.416
ACSS2	BCAT1	9606.ENSP00000253382	9606.ENSP00000443459	0	0	0	0	0	0.274	0	0.241	0.425
ACSS2	G6PD	9606.ENSP00000253382	9606.ENSP00000377192	0	0	0	0	0.062	0	0	0.429	0.442
ACSS2	SOD2	9606.ENSP00000253382	9606.ENSP00000446252	0	0	0	0	0.063	0	0.300	0.250	0.465
ACSS2	ELOVL5	9606.ENSP00000253382	9606.ENSP00000359956	0	0	0	0	0.062	0	0	0.456	0.468
ACSS2	HMGCR	9606.ENSP00000253382	9606.ENSP00000287936	0	0	0	0	0.073	0	0	0.475	0.492
ACSS2	DGAT1	9606.ENSP00000253382	9606.ENSP00000482264	0	0	0	0	0.062	0	0	0.482	0.493
ACSS2	SIRT7	9606.ENSP00000253382	9606.ENSP00000329466	0	0	0	0	0	0	0	0.526	0.526
ACSS2	PKM	9606.ENSP00000253382	9606.ENSP00000320171	0.051	0	0	0	0.124	0.096	0	0.467	0.546
ACSS2	TKT	9606.ENSP00000253382	9606.ENSP00000391481	0	0	0	0	0.086	0.148	0	0.483	0.562
ACSS2	CD36	9606.ENSP00000253382	9606.ENSP00000399421	0	0	0	0	0	0	0	0.724	0.724
ACSS2	ACSS3	9606.ENSP00000253382	9606.ENSP00000449535	0	0	0.440	0.820	0	0	0.900	0.808	0.920
ACSS2	ALDH3B1	9606.ENSP00000253382	9606.ENSP00000473990	0.044	0	0	0	0.129	0.065	0.900	0.328	0.938
ACSS2	TFEB	9606.ENSP00000253382	9606.ENSP00000351742	0	0	0	0	0	0	0	0.954	0.954
ACTB	GABARAPL2	9606.ENSP00000349960	9606.ENSP00000037243	0	0	0	0	0.065	0.116	0	0.437	0.494
ACTB	GRN	9606.ENSP00000349960	9606.ENSP00000053867	0	0	0	0	0.141	0.148	0	0.318	0.457
ACTB	SLC2A3	9606.ENSP00000349960	9606.ENSP00000075120	0	0	0	0	0	0.059	0	0.470	0.480
ACTB	HDAC7	9606.ENSP00000349960	9606.ENSP00000080059	0	0	0	0	0.049	0.142	0	0.339	0.413
ACTB	TNFRSF1A	9606.ENSP00000349960	9606.ENSP00000162749	0	0	0	0	0.062	0	0	0.559	0.569
ACTB	NGFR	9606.ENSP00000349960	9606.ENSP00000172229	0	0	0	0	0	0	0	0.488	0.488
ACTB	ITGB4	9606.ENSP00000349960	9606.ENSP00000200181	0	0	0	0	0.055	0.066	0.600	0.374	0.749
ACTB	NFKBIA	9606.ENSP00000349960	9606.ENSP00000216797	0	0	0	0	0	0.103	0	0.844	0.854
ACTB	TBL1X	9606.ENSP00000349960	9606.ENSP00000217964	0	0	0	0	0.053	0.057	0	0.536	0.549
ACTB	CORO1A	9606.ENSP00000349960	9606.ENSP00000219150	0	0	0	0	0.100	0.360	0	0.305	0.565
ACTB	TGFB1	9606.ENSP00000349960	9606.ENSP00000221930	0	0	0	0	0.081	0	0	0.592	0.609
ACTB	NAMPT	9606.ENSP00000349960	9606.ENSP00000222553	0	0	0	0	0.062	0.056	0	0.418	0.440
ACTB	PPIF	9606.ENSP00000349960	9606.ENSP00000225174	0	0	0	0	0.080	0.060	0	0.374	0.411
ACTB	HDAC5	9606.ENSP00000349960	9606.ENSP00000225983	0	0	0	0	0.049	0.142	0	0.336	0.411
ACTB	SPI1	9606.ENSP00000349960	9606.ENSP00000227163	0	0	0	0	0.062	0	0	0.464	0.476
ACTB	DGAT2	9606.ENSP00000349960	9606.ENSP00000228027	0	0	0	0	0	0	0	0.416	0.416
ACTB	GLI1	9606.ENSP00000349960	9606.ENSP00000228682	0	0	0	0	0.062	0.075	0	0.573	0.597
ACTB	ARPC3	9606.ENSP00000349960	9606.ENSP00000228825	0	0	0	0	0.343	0.258	0.600	0.375	0.862
ACTB	GAPDH	9606.ENSP00000349960	9606.ENSP00000229239	0	0	0	0	0.344	0.382	0	0.938	0.972
ACTB	MAPK14	9606.ENSP00000349960	9606.ENSP00000229795	0	0	0	0	0	0.064	0	0.649	0.657
ACTB	MAPRE3	9606.ENSP00000349960	9606.ENSP00000233121	0	0	0	0	0.062	0.124	0	0.331	0.402
ACTB	ENO1	9606.ENSP00000349960	9606.ENSP00000234590	0	0	0	0	0.190	0.155	0	0.518	0.641
ACTB	MFN2	9606.ENSP00000349960	9606.ENSP00000235329	0	0	0	0	0.062	0.067	0	0.543	0.565
ACTB	SELL	9606.ENSP00000349960	9606.ENSP00000236147	0	0	0	0	0	0	0	0.524	0.524
